CMDLINE C:\Users\sammy\435L\Project\venv\Scripts\python.exe app.py
MEM 1.898438 1732798966.3392
MEM 3.855469 1732798966.4410
MEM 3.855469 1732798966.5493
MEM 3.855469 1732798966.6592
MEM 3.855469 1732798966.7695
MEM 3.855469 1732798966.8779
MEM 3.855469 1732798966.9870
MEM 3.855469 1732798967.0961
MEM 3.855469 1732798967.2043
MEM 3.855469 1732798967.3140
MEM 3.855469 1732798967.4214
MEM 3.855469 1732798967.5306
MEM 3.855469 1732798967.6413
MEM 3.855469 1732798967.7505
MEM 3.855469 1732798967.8587
MEM 3.855469 1732798967.9685
MEM 3.855469 1732798968.0756
MEM 3.855469 1732798968.1853
MEM 3.855469 1732798968.2923
MEM 3.855469 1732798968.4032
MEM 3.855469 1732798968.5124
MEM 3.855469 1732798968.6211
MEM 3.855469 1732798968.7296
MEM 3.855469 1732798968.8384
MEM 3.855469 1732798968.9479
MEM 3.855469 1732798969.0561
MEM 3.855469 1732798969.1642
MEM 3.855469 1732798969.2727
MEM 3.855469 1732798969.3814
MEM 3.855469 1732798969.4904
MEM 3.855469 1732798969.6003
MEM 3.855469 1732798969.7094
MEM 3.855469 1732798969.8164
MEM 3.855469 1732798969.9236
MEM 3.855469 1732798970.0327
MEM 3.855469 1732798970.1425
MEM 3.855469 1732798970.2523
MEM 3.855469 1732798970.3618
MEM 3.855469 1732798970.4697
MEM 3.855469 1732798970.5788
MEM 3.855469 1732798970.6874
MEM 3.855469 1732798970.7968
MEM 3.855469 1732798970.9059
MEM 3.855469 1732798971.0147
MEM 3.855469 1732798971.1238
MEM 3.855469 1732798971.2336
MEM 3.855469 1732798971.3422
MEM 3.855469 1732798971.4605
MEM 3.855469 1732798971.5608
MEM 3.855469 1732798971.6715
